,station_id,station_name,year,snow,t_mean,lon,lat
89,251150080,GRABIK,2001,29,0.4,15.116667,51.65
90,251150180,TOMASZÓW BOLESŁAWIECKI,2001,15,0.6,15.683333,51.283333
91,251150250,ZGORZELEC,2001,27,-0.3,15.033333,51.133333
92,251160150,POLKOWICE DOLNE,2001,17,0.6,16.05,51.5
93,251160170,CHWAŁKOWICE,2001,13,1.0,16.613889,51.448889
94,251170030,WITASZYCE,2001,32,-0.1,17.55,51.95
95,251170090,SMOLICE,2001,40,0.8,17.183333,51.7
96,251170150,GRABOWNICA,2001,25,1.0,17.45,51.466667
97,251170290,NAMYSŁÓW,2001,10,0.5,17.733333,51.083333
98,251170320,JELCZ-LASKOWICE,2001,9,1.1,17.35,51.05
99,251180090,SIERADZ,2001,27,0.0,18.7,51.6
100,251190050,PUCZNIEW,2001,12,-0.5,19.083333,51.783333
101,251200030,SKIERNIEWICE,2001,21,-1.0,20.166667,51.966667
102,251200150,ŁAZISKA,2001,6,-3.0,20.916667,51.333333
103,251210040,JARCZEW,2001,22,-3.5,21.983333,51.816667
104,251210120,PUŁAWY,2001,13,-4.2,21.966667,51.416667
105,251220070,SOBIESZYN,2001,32,-3.9,22.15,51.616667
106,251230120,BEZEK,2001,19,-5.1,23.266667,51.183333
107,252150050,KRZYŻ,2001,25,0.9,15.983333,52.883333
108,252150120,GORZYŃ,2001,31,1.0,15.9,52.566667
109,252150180,LUBINICKO-ŚWIEBODZIN,2001,20,1.2,15.55,52.25
110,252160110,SZAMOTUŁY-BABORÓWKO,2001,10,0.1,16.633333,52.583333
111,252160160,PAPROĆ,2001,25,1.0,16.183333,52.3
112,252160230,WIELICHOWO,2001,15,0.4,16.35,52.116667
113,252170110,GNIEZNO,2001,25,0.4,17.566667,52.55
114,252170190,SŁUPCA,2001,20,0.1,17.866667,52.283333
115,252170210,KÓRNIK,2001,21,0.5,17.1,52.25
116,252180080,KOŁUDA WIELKA,2001,12,-0.2,18.15,52.733333
117,252190030,GŁODOWO,2001,0,-0.1,19.233333,52.833333
118,252200060,POŚWIĘTNE,2001,20,-0.7,20.383333,52.633333
119,252200120,LEGIONOWO,2001,14,-0.9,20.966667,52.4
120,252200150,WARSZAWA-BIELANY,2001,17,-0.6,20.966667,52.283333
121,252210050,PUŁTUSK,2001,19,-1.2,21.001667,52.067778
122,252210160,WARSZAWA-OBSERWATORIUM,2001,17,1.1,21.033333,52.216667
123,252210170,WARSZAWA-OBSERWATORIUM II,2001,0,-0.4,21.033333,52.216667
124,252220030,SZEPIETOWO,2001,23,-4.0,22.55,52.85
125,252230120,BIAŁOWIEŻA,2001,25,-4.2,23.85,52.7
126,252230190,CICIBÓR,2001,19,-3.6,23.116667,52.083333
127,253140060,GOLENIÓW,2001,37,1.2,14.893056,53.593056
128,253150190,PRZELEWICE,2001,31,-0.2,15.083333,53.1
129,253160090,WIERZCHOWO,2001,35,0.5,16.116667,53.466667
130,253170210,CHRZĄSTOWO,2001,22,-0.2,17.583333,53.183333
131,253180020,RADOSTOWO,2001,23,-0.1,18.75,53.983333
132,253180090,ŚLIWICE,2001,45,-0.7,18.183333,53.7
133,253180150,GRUDZIĄDZ,2001,30,-1.1,18.716667,53.433333
134,253180220,BYDGOSZCZ,2001,22,-0.7,17.966667,53.1
135,253190030,DOBROCIN,2001,28,-2.6,19.833333,53.916667
136,253190070,PRABUTY,2001,30,-0.4,19.216667,53.733333
137,253190220,LIDZBARK,2001,31,-2.1,19.833333,53.25
138,253210130,SZCZYTNO,2001,39,-1.5,21.016667,53.583333
139,253210210,MYSZYNIEC,2001,23,-1.5,21.35,53.383333
140,253220070,BIEBRZA-PIEŃCZYKÓWEK,2001,26,-2.0,22.6,53.65
141,253220180,MARIANOWO,2001,23,-1.8,22.1,53.216667
142,253230020,RÓŻANYSTOK,2001,21,-2.5,23.4,53.633333
143,254140010,DZIWNÓW,2001,19,2.0,14.733333,54.016667
144,254160020,DARŁOWO,2001,15,1.3,16.383333,54.45
145,254160110,MIASTKO,2001,34,-0.1,16.983333,54.016667
146,254170040,KARŻNICZKA,2001,38,0.5,17.233333,54.483333
147,254170140,KOŚCIERZYNA,2001,31,-0.8,17.966667,54.133333
148,254180010,ROZEWIE,2001,25,0.2,18.333333,54.833333
149,254180060,GDYNIA,2001,16,0.6,18.566667,54.516667
150,254180090,GDAŃSK-RĘBIECHOWO,2001,12,-0.4,18.466667,54.383333
151,254180110,GDAŃSK-ŚWIBNO,2001,17,0.1,18.933333,54.333333
152,254180170,LISEWO,2001,20,-1.2,18.833333,54.1
153,254190050,FROMBORK,2001,29,0.0,19.683333,54.366667
154,254190120,KMIECIN,2001,25,-0.2,19.166667,54.183333
155,254200080,LIDZBARK WARMIŃSKI,2001,30,-0.9,20.6,54.133333
156,254220030,GOŁDAP,2001,22,-3.0,22.316667,54.316667
157,254220090,OLECKO,2001,17,-2.4,22.483333,54.05
158,249180010,PSZCZYNA,2002,7,-14.8,18.916667,50.0
159,249180130,CIESZYN,2002,7,-15.5,18.633333,49.75
160,249180160,BRENNA,2002,8,-13.9,18.871667,49.754167
161,249180230,WISŁA,2002,14,-14.1,18.866667,49.65
162,249180260,ISTEBNA-KUBALONKA,2002,11,-8.7,18.9,49.6
163,249190090,INWAŁD,2002,15,-17.3,19.433333,49.883333
164,249190190,MAKÓW PODHALAŃSKI,2002,8,-16.3,19.683333,49.733333
165,249190330,NOWY DWÓR,2002,6,-16.8,19.166667,49.65
166,249190350,ZAWOJA,2002,8,-12.5,19.516667,49.616667
167,249190370,RABKA,2002,10,-15.9,19.966667,49.616667
168,249190480,LALIKI,2002,18,-11.4,19.016667,49.55
169,249190520,OBIDOWA,2002,13,-14.4,19.966667,49.55
170,249190560,JABŁONKA,2002,13,-24.6,19.7,49.466667
171,249190680,HALA ORNAK,2002,13,-15.8,19.866667,49.233333
172,249200020,ŁAZY,2002,5,-18.0,20.5,49.966667
173,249200070,DOBCZYCE,2002,8,-18.2,20.066667,49.883333
174,249200130,JASTRZĘBIA,2002,7,-21.1,20.9,49.783333
175,249200180,LIMANOWA,2002,6,-10.8,20.433333,49.683333
176,249200240,PTASZKOWA,2002,9,-14.7,20.883333,49.6
177,249200260,ŁĄCKO,2002,4,-16.5,20.439444,49.559444
178,249200320,ŁOPUSZNA,2002,10,-21.8,20.133333,49.483333
179,249200360,MIZERNA,2002,8,-19.6,20.283333,49.466667
180,249200370,KROŚCIENKO,2002,7,-17.9,20.433333,49.45
181,249200410,PIWNICZNA,2002,8,-17.7,20.7,49.433333
182,249200420,NIEDZICA,2002,11,-19.9,20.316667,49.416667
